setting,method,r2_mean,r2_std,paper_r2_EDERM(SC)
f2/gaussian/0%,ERM(MSE),0.9478455949099658,0.007724542439272745,
f2/gaussian/0%,LSSVR,0.9443640992801734,0.006775909847066935,
f2/gaussian/0%,Huber,0.9478455328151496,0.0077244815425597,
f2/gaussian/0%,MCC,0.9477339077548421,0.008416524696587787,
f2/gaussian/0%,MoM,0.9438856574413064,0.007768316284121001,
f2/gaussian/0%,"EDERM(S,C)",0.9475785494777179,0.008322182512398716,0.9823
f2/gaussian/0%,"EDERM(C,C)",0.9448826033977926,0.009345174352827905,
f2/gaussian/10%,ERM(MSE),-10.97597440149144,12.229844133687287,
f2/gaussian/10%,LSSVR,-13.134081416867991,15.534276483356491,
f2/gaussian/10%,Huber,0.9090911079676097,0.020537954055091682,
f2/gaussian/10%,MCC,0.9470058529914208,0.009207828263548204,
f2/gaussian/10%,MoM,-11.954622768242574,12.748905271129813,
f2/gaussian/10%,"EDERM(S,C)",0.9468821773820826,0.007782438535259478,0.9535
f2/gaussian/10%,"EDERM(C,C)",0.9471406323313666,0.008013633229619049,
f2/gaussian/20%,ERM(MSE),-16.211209623095748,13.381834947418266,
f2/gaussian/20%,LSSVR,-19.61535636025308,15.822938187072669,
f2/gaussian/20%,Huber,0.8678287185331538,0.06401163835274466,
f2/gaussian/20%,MCC,0.9458272848794284,0.010356382252576894,
f2/gaussian/20%,MoM,-53.53545328523977,41.08611186608722,
f2/gaussian/20%,"EDERM(S,C)",0.9434188624222113,0.00909168748025067,0.941
f2/gaussian/20%,"EDERM(C,C)",0.9453971164941773,0.008823105026013783,
f3/gaussian/0%,ERM(MSE),0.9711628749144972,0.0033382252469460693,
f3/gaussian/0%,LSSVR,0.9490864086421412,0.007688092351898931,
f3/gaussian/0%,Huber,0.9711247869818049,0.003341339465412538,
f3/gaussian/0%,MCC,0.9587091427004684,0.007264056517476086,
f3/gaussian/0%,MoM,0.9596409671784663,0.007209530389272427,
f3/gaussian/0%,"EDERM(S,C)",0.9987486726932367,0.0005850918681973539,0.9721
f3/gaussian/0%,"EDERM(C,C)",0.9987486726932489,0.0005850918681771471,
f3/student/0%,ERM(MSE),0.9708867037278083,0.0031949022909354987,
f3/student/0%,LSSVR,0.9489129481246614,0.007641925591911703,
f3/student/0%,Huber,0.9708492931481274,0.0031975816237088763,
f3/student/0%,MCC,0.958548359616547,0.0071886940844905255,
f3/student/0%,MoM,0.9594421973588279,0.0071331184715732205,
f3/student/0%,"EDERM(S,C)",0.9935808174802657,0.007519149333578514,
f3/student/0%,"EDERM(C,C)",0.9935808174801073,0.007519149333888521,
