setting,method,r2_mean,r2_std,paper_r2_EDERM(SC)
f1/gaussian/0%,ERM(MSE),0.9285912410805757,0.008631600405509669,
f1/gaussian/0%,LSSVR,0.9418036794845799,0.016518932850227628,
f1/gaussian/0%,Huber,0.9054128308227172,0.017786663078428067,
f1/gaussian/0%,MCC,-1.031597090172282,0.14618747800908555,
f1/gaussian/0%,MoM,0.9206913701512345,0.009508923448706979,
f1/gaussian/0%,"EDERM(S,C)",0.851750153029637,0.3812249279364642,0.9917
f1/gaussian/0%,"EDERM(C,C)",0.9857870557652719,0.014021592848361564,
f1/gaussian/10%,ERM(MSE),0.9053713125325993,0.014460874972038722,
f1/gaussian/10%,LSSVR,0.9275226484211616,0.014583641521654223,
f1/gaussian/10%,Huber,0.9089070270231193,0.011712154701943943,
f1/gaussian/10%,MCC,-1.0272689424310582,0.14006335341139467,
f1/gaussian/10%,MoM,0.8869515881122633,0.016766092727020187,
f1/gaussian/10%,"EDERM(S,C)",0.787701927263807,0.28486028702964356,0.9855
f1/gaussian/10%,"EDERM(C,C)",0.8134920910018645,0.26809899678017735,
f1/gaussian/20%,ERM(MSE),0.8446907964900386,0.037105973508123766,
f1/gaussian/20%,LSSVR,0.8768670994317164,0.020848692604931808,
f1/gaussian/20%,Huber,0.8935585997553043,0.02314809976118306,
f1/gaussian/20%,MCC,-1.0472357252581008,0.18731297203224054,
f1/gaussian/20%,MoM,0.8215652349650713,0.04740648772676398,
f1/gaussian/20%,"EDERM(S,C)",0.704817553151713,0.5415217840849839,0.9689
f1/gaussian/20%,"EDERM(C,C)",0.6942012556424371,0.5349258697613298,
f1/student/0%,ERM(MSE),0.9032486473593074,0.02598113881468584,
f1/student/0%,LSSVR,0.9182582657983616,0.028460892930499575,
f1/student/0%,Huber,0.8874846047639939,0.029244559305848433,
f1/student/0%,MCC,-1.1086902680488813,0.19469629599986277,
f1/student/0%,MoM,0.8904837676920282,0.031116614068945187,
f1/student/0%,"EDERM(S,C)",0.9486133825550966,0.03418152534683598,
f1/student/0%,"EDERM(C,C)",0.9576515828631555,0.03035497112441111,
f1/student/10%,ERM(MSE),0.8858402935273884,0.02615208256606458,
f1/student/10%,LSSVR,0.9092443752831926,0.025675116337902735,
f1/student/10%,Huber,0.890644602841953,0.027815254171243777,
f1/student/10%,MCC,-1.1089902033448265,0.17184660338348096,
f1/student/10%,MoM,0.8706783142663301,0.02233288890592185,
f1/student/10%,"EDERM(S,C)",0.844572181675957,0.19917502224907055,
f1/student/10%,"EDERM(C,C)",0.8566862542549284,0.20003344570406426,
f1/student/20%,ERM(MSE),0.8264572877052542,0.030034695590273313,
f1/student/20%,LSSVR,0.8600314292468555,0.030652360974173842,
f1/student/20%,Huber,0.884948901352422,0.02757986080328794,
f1/student/20%,MCC,-1.0980230765754333,0.16102223410837962,
f1/student/20%,MoM,0.8268914208801835,0.040269560063919116,
f1/student/20%,"EDERM(S,C)",0.5136876358083289,0.6656195360220977,
f1/student/20%,"EDERM(C,C)",0.5733030590264004,0.6383729512232367,
f2/gaussian/0%,ERM(MSE),0.9478455949099658,0.007724542439272745,
f2/gaussian/0%,LSSVR,0.9443640992801734,0.006775909847066935,
f2/gaussian/0%,Huber,0.9478455328151496,0.0077244815425597,
f2/gaussian/0%,MCC,0.9477339077548421,0.008416524696587787,
f2/gaussian/0%,MoM,0.9438856574413064,0.007768316284121001,
f2/gaussian/0%,"EDERM(S,C)",0.9475785494777179,0.008322182512398716,0.9823
f2/gaussian/0%,"EDERM(C,C)",0.9448826033977926,0.009345174352827905,
f2/gaussian/10%,ERM(MSE),-10.97597440149144,12.229844133687287,
f2/gaussian/10%,LSSVR,-13.134081416867991,15.534276483356491,
f2/gaussian/10%,Huber,0.9090911079676097,0.020537954055091682,
f2/gaussian/10%,MCC,0.9470058529914208,0.009207828263548204,
f2/gaussian/10%,MoM,-11.954622768242574,12.748905271129813,
f2/gaussian/10%,"EDERM(S,C)",0.9468821773820826,0.007782438535259478,0.9535
f2/gaussian/10%,"EDERM(C,C)",0.9471406323313666,0.008013633229619049,
f2/gaussian/20%,ERM(MSE),-16.211209623095748,13.381834947418266,
f2/gaussian/20%,LSSVR,-19.61535636025308,15.822938187072666,
f2/gaussian/20%,Huber,0.8678287185331538,0.06401163835274466,
f2/gaussian/20%,MCC,0.9458272848794284,0.010356382252576894,
f2/gaussian/20%,MoM,-53.53545328523977,41.08611186608722,
f2/gaussian/20%,"EDERM(S,C)",0.9434188624222113,0.00909168748025067,0.941
f2/gaussian/20%,"EDERM(C,C)",0.9453971164941773,0.008823105026013783,
f2/student/0%,ERM(MSE),0.7951567498145818,0.07946652195792019,
f2/student/0%,LSSVR,0.7937730024337346,0.08316180955012172,
f2/student/0%,Huber,0.7975046899228035,0.07661179611697815,
f2/student/0%,MCC,0.79818389292825,0.07490097244152333,
f2/student/0%,MoM,0.7852527256599442,0.07876722589045371,
f2/student/0%,"EDERM(S,C)",0.803420391255073,0.07632501612061611,
f2/student/0%,"EDERM(C,C)",0.8027811904863474,0.07585517339430063,
f2/student/10%,ERM(MSE),-7.450868175100526,8.528436961726886,
f2/student/10%,LSSVR,-8.503330302994897,10.784652346874301,
f2/student/10%,Huber,0.7770755617187578,0.07747351885976714,
f2/student/10%,MCC,0.7971069884611287,0.07469357517734748,
f2/student/10%,MoM,-7.71864239776829,13.72429076330646,
f2/student/10%,"EDERM(S,C)",0.8020118782943685,0.0760662411821974,
f2/student/10%,"EDERM(C,C)",0.8013811884898413,0.07540126852920073,
f2/student/20%,ERM(MSE),-5.17474242493705,6.3885494516439,
f2/student/20%,LSSVR,-5.484435795119289,5.88376920121793,
f2/student/20%,Huber,0.7556286363396143,0.06236054546038478,
f2/student/20%,MCC,0.7950724691282801,0.07539065180582183,
f2/student/20%,MoM,-11.650472411912673,11.842456176702353,
f2/student/20%,"EDERM(S,C)",0.8002468155494808,0.07689162524219037,
